taxa,PC1,PC2
L03_25,-14.4453300044495,-49.7430686462215
L03_26,-18.9415440617799,7.03081134711978
L03_27,-21.6053617699711,7.89109098288493
L03_28,-17.3764027697258,-0.325592559648787
L03_29,-10.120535053621,2.65997390525405
L03_3,12.8144677454612,3.25155406446489
L03_30,2.18597821126152,5.59965609990034
L03_32,55.8974989744981,10.3224902854787
L03_33,-17.7729731695313,3.91307086402206
L03_34,-21.0270847192154,-17.9007238278928
L03_35,-23.2844309611997,4.68055063812102
L03_36,15.9835326594986,3.3780443018365
L03_37,-14.4263124334454,7.2995530866348
L03_38,12.1992631715939,7.1124970006178
L03_39,2.82304520356977,4.05496973047074
L03_4,-6.71851617277816,-12.7474630031498
L03_40,91.5653336153981,-3.12168246378742
L03_41,-2.01988238791329,-15.9501456154258
L03_42,-13.4249733198402,3.70766986798586
L03_43,-14.0460166137736,5.61701771175031
L03_44,5.15582099349109,4.51309775829842
L03_45,-5.80023919445929,4.88851352740812
L03_46,-7.15794344659903,-11.470805002996
L03_47,-3.50235355233983,7.8665768658823
L03_48,-7.31933255317216,10.8583266097682
L03_49,-22.6145431443494,-1.67819225738761
L03_5,15.7124664234652,1.61221762502677
L03_50,-6.15584121511169,-0.570134946988817
L03_51,-8.27583092663799,-47.4899394686237
L03_52,-7.11703402574331,3.27996980071676
L03_53,23.7288386404984,-11.9456165413132
L03_54,49.6517778988497,-6.85112525266528
L03_55,78.9944541768344,10.2016810202572
L03_56,-22.2219673988029,9.67869760104417
L03_57,-25.0437476522317,4.32385949191746
L03_58,-18.5984684507283,-2.24558177408141
L03_6,-16.9910502854045,6.14370539811659
L03_60,-17.596638085242,2.92409679775846
L03_61,-12.5546574333609,-12.901267622941
L03_62,-23.5229699184203,1.3600622272916
L03_63,22.0896556823755,9.59138369886834
L03_65,-14.537051340727,-1.4129769421072
L03_67,-7.04163960181563,6.23001786638899
L03_68,-0.372956355231853,-17.1587790043306
L03_69,49.2619438566582,6.4888785365134
L03_7,28.2634133237643,20.2938937084947
L03_70,-9.1558227977506,6.78977771275025
L03_71,-13.6879591323904,2.5836067123843
L03_73,-5.69610413212766,-14.4605662842114
L03_74,-22.1652672282641,16.3002709294134
L03_76,-24.4519094404338,20.6757223072795
L03_77,-12.6405443237535,12.298539353091
L03_78,-11.6423071978273,8.4664312756419
L03_79,-23.3622177899431,5.76769578086848
L03_8,-10.419982432791,-12.991938325508
L03_80,-11.1560987194659,3.70307826733908
L03_81,-20.0822965844367,-16.8301853106728
L03_82,-19.0591264277547,11.779037515127
L03_83,-20.9541093686121,3.24994724743534
L03_84,-22.7140014983098,8.32332623778114
L03_85,6.21708868458099,-12.394184168853
L03_87,-6.10839688968612,-15.5996798496256
L03_88,23.144245599565,-18.8181416908023
L03_89,-22.3335193120754,4.56479067651789
L03_9,-21.0641898348264,3.64119517552126
L03_90,-14.0840023732688,11.1419050728229
L03_91,-12.8214076088097,-16.2315673571268
L03_92,-7.20966724567205,7.64900792495415
L03_93,-21.1241461686426,7.35011201679419
L03_94,-16.3280345557403,-1.79685272747824
L03_96,53.310782060659,5.13926574349099
L04_1,-25.2023890229071,-0.896610181728092
L04_10,-19.9976250352313,-49.3747235857833
L04_11,-23.282742314268,-36.3657944643211
L04_12,-24.325957125657,8.59543119058596
L04_13,-23.0479158888927,2.09415515672892
L04_14,-17.5320764601357,-10.5587847980525
L04_15,29.0212745185292,6.43223883052079
