"","GenoID_RAD","Tag_Date","Tag_ID","Length","Weight","Fin_Clip_Number","Comment","Tank","Treatment","collector","Smolt_Assessment","SA_date","FL","WT","SI_text","SI_code","Tank.1","Tech","SWC_PIT","SWC_mort_14_day","Mort_Date","SWC_Tank","SWC_FL","X48_hr_SWC_mort"
"455","L06_95","12/8/20","3D6.1D594D833E",97,6.8,564,NA,7,"LC","chris","3D6.1D594D833E","4/20/21",172,56.4,"Parr",1,7,"AM","3D6.1D594D833E",1,"5/8/21",34,169,0
"459","L06_32","12/8/20","3D6.1D59538CC3",127,23,568,NA,7,"LC","chris","3D6.1D59538CC3","4/20/21",233,140.5,"Smolt",3,7,"JA",NA,0,NA,NA,NA,NA
"464","L06_72","12/8/20","3D6.1D59592701",79,5.7,573,NA,7,"LC","chris","3D6.1D59592701","4/20/21",141,29.6,"Parr",1,7,"JA","3D6.1D59592701",1,"5/6/21",35,142,0
"854","L11_91","12/7/20","3D6.1D59589F58",127,21.3,1188,NA,9,"EC","jeff","3D6.1D59589F58","4/22/21",200,81.8,"Smolt",3,9,"JA","3D6.1D59589F58",1,"5/6/21",34,195,0
"856","L11_12","12/7/20","3D6.1D59592360",138,30.9,1190,NA,9,"EC","jeff","3D6.1D59592360","4/22/21",202,87.4,"Smolt",3,9,"JA","3D6.1D59592360",1,"5/10/21",35,186,0
"858","L11_28","12/7/20","3D6.1D595889EE",125,19.9,1192,NA,9,"EC","jeff","3D6.1D595889EE","4/22/21",210,102.6,"Smolt",3,9,"JA",NA,0,NA,NA,NA,NA
"866","L11_92","12/7/20","3D6.1D5958B394",84,5.8,1200,NA,9,"EC","jeff","3D6.1D5958B394","4/22/21",129,23.1,"Parr",1,9,"JA","3D6.1D5958B394",1,"5/5/21",35,130,1
"872","L11_45","12/7/20","3D6.1D59586F0D",127,23.8,1206,NA,9,"EC","jeff","3D6.1D59586F0D","4/22/21",202,94.9,"Smolt",3,9,"AM",NA,0,NA,NA,NA,NA
"879","L11_6","12/7/20","3D6.1D59589277",119,19.2,1213,NA,9,"EC","jeff","3D6.1D59589277","4/22/21",190,86.3,"Parr",1,9,"AM","3D6.1D59589277",1,"5/7/21",35,188,0
"881","L11_22","12/7/20","3D6.1D595884A5",100,11.8,1215,NA,9,"EC","jeff","3D6.1D595884A5","4/22/21",162,46.6,"Parr",1,9,"JA","3D6.1D595884A5",1,"5/5/21",34,162,1
