Tag.Date,Tag_ID,Length,Weight,Fin_Clip_Number,Comment,Tank...7,Treatment,collector,Smolt.Assessment,SA.date,FL,WT,SI.text,SI.code,Tank...16,Tech,SWC.PIT,SWC.mort.14.day,Mort.Date,SWC.Tank,SWC.FL,X48.hr.SWC.mort
2020-12-08T00:00:00Z,3D6.1D595923D7,122,20.1,304,NA,8,EC,rob,3D6.1D595923D7,2021-04-22T00:00:00Z,181,68.9,Parr,1,8,AM,3D6.1D595923D7,1,2021-05-08T00:00:00Z,35,179,0
2020-12-08T00:00:00Z,3D6.1D59587C14,109,14.3,1403,NA,8,EC,jeff,3D6.1D59587C14,2021-04-22T00:00:00Z,171,57.4,Parr,1,8,AM,3D6.1D59587C14,1,2021-05-06T00:00:00Z,34,168,0
2020-12-08T00:00:00Z,3D6.1D59591D3E,115,19.8,327,NA,8,EC,rob,3D6.1D59591D3E,2021-04-22T00:00:00Z,188,87.1,Parr,1,8,AM,3D6.1D59591D3E,1,2021-05-06T00:00:00Z,34,188,0
2020-12-08T00:00:00Z,3D6.1D59589DF4,96,8.6,354,NA,8,EC,rob,3D6.1D59589DF4,2021-04-22T00:00:00Z,153,39.2,Parr,1,8,JA,3D6.1D59589DF4,1,2021-05-06T00:00:00Z,34,154,0
2020-12-08T00:00:00Z,3D6.1D59591A70,99,11.8,293,NA,8,EC,rob,3D6.1D59591A70,2021-04-22T00:00:00Z,164,48,Parr,1,8,JA,3D6.1D59591A70,1,2021-05-06T00:00:00Z,34,162,0
2020-12-08T00:00:00Z,3D6.1D59592192,120,20.4,273,NA,8,EC,rob,3D6.1D59592192,2021-04-22T00:00:00Z,179,62.9,Parr,1,8,JA,3D6.1D59592192,1,2021-05-10T00:00:00Z,35,171,0
2020-12-08T00:00:00Z,3D6.1D594D8ACA,79,5.2,1322,NA,8,EC,jeff,3D6.1D594D8ACA,2021-04-22T00:00:00Z,109,15.2,Parr,1,8,AM,3D6.1D594D8ACA,1,2021-05-04T00:00:00Z,34,109,1
2020-12-08T00:00:00Z,3D6.1D59591BD3,87,7.4,1387,NA,8,EC,jeff,3D6.1D59591BD3,2021-04-22T00:00:00Z,129,23.7,Parr,1,8,JA,3D6.1D59591BD3,1,2021-05-04T00:00:00Z,34,127,1
2020-12-08T00:00:00Z,3D6.1D5958FD88,111,14.7,1423,NA,8,EC,jeff,3D6.1D5958FD88,2021-04-22T00:00:00Z,181,64.1,Parr,1,8,AM,3D6.1D5958FD88,1,2021-05-06T00:00:00Z,35,179,0
2020-12-08T00:00:00Z,3D6.1D59588F06,97,9.6,1415,NA,8,EC,jeff,3D6.1D59588F06,2021-04-22T00:00:00Z,152,38.6,Parr,1,8,JA,3D6.1D59588F06,1,2021-05-04T00:00:00Z,35,146,1
2020-12-08T00:00:00Z,3D6.1D595915BA,97,10.3,1372,NA,8,EC,jeff,3D6.1D595915BA,2021-04-22T00:00:00Z,153,43,Parr,1,8,JA,3D6.1D595915BA,1,2021-05-06T00:00:00Z,34,151,0
2020-12-08T00:00:00Z,3D6.1D5958917E,85,7,319,NA,8,EC,rob,3D6.1D5958917E,2021-04-22T00:00:00Z,152,38.3,Parr,1,8,JA,3D6.1D5958917E,1,2021-05-05T00:00:00Z,35,148,1
2020-12-08T00:00:00Z,3D6.1D595928BC,111,14.5,1384,NA,8,EC,jeff,3D6.1D595928BC,2021-04-22T00:00:00Z,162,50.7,Parr,1,8,AM,3D6.1D595928BC,1,2021-05-07T00:00:00Z,35,164,0
2020-12-08T00:00:00Z,3D6.1D594D8371,104,12.4,1398,NA,8,EC,jeff,3D6.1D594D8371,2021-04-22T00:00:00Z,180,63.5,Parr,1,8,AM,3D6.1D594D8371,1,2021-05-12T00:00:00Z,34,175,0
2020-12-08T00:00:00Z,3D6.1D59591D18,106,12.2,1602,NA,7,LC,jeff,3D6.1D59591D18,2021-04-20T00:00:00Z,179,60.6,Parr,1,7,AM,NA,0,NA,NA,NA,0
2020-12-08T00:00:00Z,3D6.1D595924E4,88,7.5,1444,NA,3,LC,jeff,3D6.1D595924E4,2021-04-21T00:00:00Z,156,2,Parr,1,3,JA,NA,0,NA,NA,NA,0
2020-12-08T00:00:00Z,3D6.1D59591B48,96,9.2,453,NA,3,LC,chris,3D6.1D59591B48,2021-04-21T00:00:00Z,168,47.8,Parr,1,3,JA,NA,0,NA,NA,NA,0
2020-12-08T00:00:00Z,3D6.1D595921E3,62,2.9,526,NA,7,LC,chris,3D6.1D595921E3,2021-04-20T00:00:00Z,79,5.3,Parr,1,7,AM,NA,0,NA,NA,NA,0
2020-12-08T00:00:00Z,3D6.1D59592939,106,13.2,1541,NA,7,LC,jeff,3D6.1D59592939,2021-04-20T00:00:00Z,187,71.1,Parr,1,7,AM,NA,0,NA,NA,NA,0
